Name,Line,Treatment,Concentration,Day,boutd,sleepd,boutn,sleepn,wakeact,sleeplat,Sex
51_25_900,900,Chlorpromazine_Sonazine_,2,1,8,489,8,574,3.03183,48,Male
51_25_900,900,Chlorpromazine_Sonazine_,2,2,12,466,6,589,3.32468,107,Male
51_25_900,900,Chlorpromazine_Sonazine_,2,3,12,370,5,591,3.10647,112,Male
51_25_900,900,Chlorpromazine_Sonazine_,2,4,11,363,7,556,3.10557,114,Male
51_25_900,900,Chlorpromazine_Sonazine_,2,5,12,375,3,544,2.78695,130,Male
51_26_900,900,Chlorpromazine_Sonazine_,2,1,7,380,7,521,2.61039,92,Male
51_26_900,900,Chlorpromazine_Sonazine_,2,2,9,336,6,483,2.52335,128,Male
51_26_900,900,Chlorpromazine_Sonazine_,2,3,10,379,5,480,2.38898,134,Male
51_26_900,900,Chlorpromazine_Sonazine_,2,4,10,305,11,451,2.33772,151,Male
51_26_900,900,Chlorpromazine_Sonazine_,2,5,10,319,9,454,2.56072,141,Male
51_27_900,900,Chlorpromazine_Sonazine_,2,1,12,278,7,496,2.61562,95,Male
51_27_900,900,Chlorpromazine_Sonazine_,2,2,10,205,4,539,2.71264,152,Male
51_27_900,900,Chlorpromazine_Sonazine_,2,3,6,248,4,499,2.93074,161,Male
51_27_900,900,Chlorpromazine_Sonazine_,2,4,8,257,4,555,2.8121,160,Male
51_27_900,900,Chlorpromazine_Sonazine_,2,5,10,249,2,554,2.75667,152,Male
51_28_900,900,Chlorpromazine_Sonazine_,2,1,9,241,14,344,3.45848,106,Male
51_28_900,900,Chlorpromazine_Sonazine_,2,2,15,337,7,329,3.44961,149,Male
51_28_900,900,Chlorpromazine_Sonazine_,2,3,12,292,10,225,2.8559,159,Male
51_28_900,900,Chlorpromazine_Sonazine_,2,4,9,379,9,383,2.89971,131,Male
51_28_900,900,Chlorpromazine_Sonazine_,2,5,7,372,8,460,2.57237,189,Male
51_30_900,900,Chlorpromazine_Sonazine_,2,1,14,226,16,612,3.03654,22,Male
51_30_900,900,Chlorpromazine_Sonazine_,2,2,14,239,16,537,3.30271,60,Male
51_30_900,900,Chlorpromazine_Sonazine_,2,3,10,179,17,514,2.93574,74,Male
51_30_900,900,Chlorpromazine_Sonazine_,2,4,8,240,10,463,2.45997,119,Male
51_30_900,900,Chlorpromazine_Sonazine_,2,5,3,199,1,720,1.7025,0,Male
51_31_900,900,Chlorpromazine_Sonazine_,2,1,12,488,1,628,2.17901,84,Male
51_31_900,900,Chlorpromazine_Sonazine_,2,2,12,473,2,514,1.91832,105,Male
51_31_900,900,Chlorpromazine_Sonazine_,2,3,13,463,10,554,1.99291,106,Male
51_31_900,900,Chlorpromazine_Sonazine_,2,4,10,462,5,555,1.87707,116,Male
51_31_900,900,Chlorpromazine_Sonazine_,2,5,10,478,8,534,1.79206,145,Male
52_1_900,900,Chlorpromazine_Sonazine_,3,1,18,178,14,162,1.51818,133,Female
52_1_900,900,Chlorpromazine_Sonazine_,3,2,21,186,9,77,1.42566,254,Female
52_1_900,900,Chlorpromazine_Sonazine_,3,3,21,171,16,127,1.66637,24,Female
52_1_900,900,Chlorpromazine_Sonazine_,3,4,23,168,21,219,1.48813,72,Female
52_1_900,900,Chlorpromazine_Sonazine_,3,5,27,263,19,232,1.65926,18,Female
52_2_900,900,Chlorpromazine_Sonazine_,3,1,18,361,6,547,2.08647,65,Female
52_2_900,900,Chlorpromazine_Sonazine_,3,2,19,373,12,566,2.56287,23,Female
52_2_900,900,Chlorpromazine_Sonazine_,3,3,17,311,10,418,2.53586,0,Female
52_2_900,900,Chlorpromazine_Sonazine_,3,4,16,329,8,463,2.3858,8,Female
52_2_900,900,Chlorpromazine_Sonazine_,3,5,11,267,18,512,2.20424,27,Female
52_3_900,900,Chlorpromazine_Sonazine_,3,1,36,473,8,703,2.64394,5,Female
52_3_900,900,Chlorpromazine_Sonazine_,3,2,34,545,2,710,2.09189,7,Female
52_3_900,900,Chlorpromazine_Sonazine_,3,3,26,588,2,711,2.94326,4,Female
52_3_900,900,Chlorpromazine_Sonazine_,3,4,17,618,8,690,2.95455,5,Female
52_3_900,900,Chlorpromazine_Sonazine_,3,5,31,626,4,711,2.74757,0,Female
52_4_900,900,Chlorpromazine_Sonazine_,3,1,17,183,14,677,1.80862,19,Female
52_4_900,900,Chlorpromazine_Sonazine_,3,2,8,68,19,667,1.66099,15,Female
52_4_900,900,Chlorpromazine_Sonazine_,3,3,13,113,9,689,1.86207,17,Female
52_4_900,900,Chlorpromazine_Sonazine_,3,4,11,100,6,704,1.56289,10,Female
52_4_900,900,Chlorpromazine_Sonazine_,3,5,12,76,5,702,1.60423,6,Female
52_5_900,900,Chlorpromazine_Sonazine_,3,1,12,94,13,549,1.29987,45,Female
52_5_900,900,Chlorpromazine_Sonazine_,3,2,9,60,17,636,1.25,11,Female
52_5_900,900,Chlorpromazine_Sonazine_,3,3,19,177,9,679,1.34932,27,Female
52_5_900,900,Chlorpromazine_Sonazine_,3,4,12,97,16,693,1.02769,4,Female
52_5_900,900,Chlorpromazine_Sonazine_,3,5,14,103,9,657,1.30882,28,Female
52_6_900,900,Chlorpromazine_Sonazine_,3,1,17,175,8,669,1.80537,26,Female
52_6_900,900,Chlorpromazine_Sonazine_,3,2,22,179,1,705,1.68705,15,Female
52_6_900,900,Chlorpromazine_Sonazine_,3,3,14,113,8,697,1.59524,8,Female
52_6_900,900,Chlorpromazine_Sonazine_,3,4,21,175,7,682,1.72727,29,Female
52_6_900,900,Chlorpromazine_Sonazine_,3,5,15,135,6,692,1.68189,13,Female
52_7_900,900,Chlorpromazine_Sonazine_,3,1,17,209,16,603,2.42357,22,Female
52_7_900,900,Chlorpromazine_Sonazine_,3,2,19,271,10,702,1.98929,5,Female
52_7_900,900,Chlorpromazine_Sonazine_,3,3,19,219,9,695,1.78517,12,Female
52_7_900,900,Chlorpromazine_Sonazine_,3,4,20,242,15,676,1.94253,8,Female
52_7_900,900,Chlorpromazine_Sonazine_,3,5,16,262,11,689,1.591,14,Female
52_8_900,900,Chlorpromazine_Sonazine_,3,1,16,201,9,641,2.21405,55,Female
52_8_900,900,Chlorpromazine_Sonazine_,3,2,16,250,8,641,1.94353,48,Female
52_8_900,900,Chlorpromazine_Sonazine_,3,3,18,306,5,652,1.64938,63,Female
52_8_900,900,Chlorpromazine_Sonazine_,3,4,24,254,7,704,1.48963,9,Female
52_8_900,900,Chlorpromazine_Sonazine_,3,5,15,325,5,686,1.39161,15,Female
52_9_900,900,Chlorpromazine_Sonazine_,3,1,6,650,7,664,3.11905,40,Male
52_9_900,900,Chlorpromazine_Sonazine_,3,2,7,647,7,635,2.87342,65,Male
52_9_900,900,Chlorpromazine_Sonazine_,3,3,6,601,2,571,3.29851,75,Male
52_9_900,900,Chlorpromazine_Sonazine_,3,4,12,575,2,603,3.07252,72,Male
52_9_900,900,Chlorpromazine_Sonazine_,3,5,7,631,3,616,3.27979,100,Male
